date,total_blocks,total_transactions,avg_gas_used,avg_block_utilization_pct,total_data_mb
2025-10-09,7155,1594069,22722948,50.5099,851
2025-10-08,7140,1616085,22716619,50.4993,858
2025-10-07,7158,1595109,22725828,50.5119,876
2025-10-06,7151,1576776,22768085,50.6119,842
2025-10-05,7163,1387207,22773428,50.6237,785
2025-10-04,7153,1390296,22816913,50.7193,744
2025-10-03,7164,1634980,22690275,50.4368,867
2025-10-02,7148,1788467,22698911,50.4581,852
2025-10-01,7140,1704159,22723375,50.5132,852
2025-09-30,7155,1755868,22669705,50.3895,844
2025-09-29,7159,1703608,22703581,50.4673,842
2025-09-28,7150,1404703,22781742,50.648,794
2025-09-27,7154,1427746,22719039,50.501,927
2025-09-26,7143,1638605,22670988,50.3973,853
2025-09-25,7148,1624004,22727040,50.5212,848
2025-09-24,7161,1597810,22742050,50.5542,870
2025-09-23,7168,1688051,22713441,50.4926,869
2025-09-22,7149,1588927,22722885,50.5136,843
2025-09-21,7146,1418164,22773561,50.6289,747
2025-09-20,7152,1589396,22720193,50.5047,856
2025-09-19,7159,1721377,22671705,50.4025,825
2025-09-18,7159,1843631,22675405,50.4105,831
2025-09-17,7165,1687103,22720848,50.5101,862
2025-09-16,7160,1801312,22683029,50.4238,937
2025-09-15,7153,1675545,22718958,50.5033,892
2025-09-14,7171,1518453,22760557,50.5988,788
2025-09-13,7167,1637457,22702952,50.4645,866
2025-09-12,7165,1753023,22692790,50.4462,903
2025-09-11,7156,1709635,22696444,50.4524,896
