hour_of_day,total_blocks,total_transactions,avg_utilization_pct,avg_gas_price_gwei
0,1793,73479215,54.91063237785339,0.9541000489770068
1,1789,80796247,55.93307434379804,0.9220480374294556
2,1780,78440691,56.53103872722578,0.92702316961803
3,1786,69309014,56.19384386778435,0.8697327606193297
4,1787,60488766,55.76577166988783,0.9390692762056332
5,1787,75659672,56.19390437840008,0.8582016693810054
6,1784,76068025,55.93423349019526,1.0738041417758029
7,1783,86753724,55.84063783761432,0.9094280073638766
8,1794,117769974,57.0832722526821,1.075694882985634
9,1788,100286652,55.855418932870315,1.0258529737534998
10,1791,95660096,55.26552870863967,1.0194544358296302
11,1782,115773029,56.92487919060897,1.029263059545226
12,1793,106334899,56.172531732926835,1.3467807207834277
13,1786,109827348,56.49971720439766,1.5679567126441234
14,1785,116780886,55.926020330204274,2.3625183319145004
15,1782,118977938,55.11690949565966,2.55922299962778
16,1790,118192001,55.59470074192942,2.630538290014828
17,1787,110477256,55.17137285885863,2.1084141397490326
18,1790,104456981,54.440836796408526,1.935223455403918
19,1791,116255663,55.84980654227997,1.285337796413337
20,1791,104119219,55.812367944983535,1.19884968546332
21,1786,90136653,55.64300703409634,1.1693500196524933
22,1790,82736230,56.0502688575053,0.9576022023430728
23,1787,77028857,55.92081430756608,0.8741796672802827
