miner,blocks_produced,total_tx_processed,avg_gas_per_block,estimated_base_rewards_eth,base_fees_burned_eth
0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97,20282,4596752,24640465.13317227,40564,216.12881084138897
0xdadb0d80178819f2319190d340ce9a924f783711,12596,2958879,25517458.632184826,25192,126.69932863053108
0x396343362be2a4da1ce0c1c210945346fb82aa49,2794,529615,19588534.173228346,5588,23.187007019481896
0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5,1557,350816,22752771.038535647,3114,17.417578770549817
0x1f9090aae28b8a3dceadf281b0f12828e676c326,1431,207165,14090597.86163522,2862,4.0105389635653514
0x388c818ca8b9251b393131c08a736a67ccb19297,945,123796,10637047.697354496,1890,3.693790928877579
0x6adb3bab5730852eb53987ea89d8e8f16393c200,433,78522,17710250.09468822,866,4.730025393419978
0x18bb896994283bd9c16aa2072777a97c12f1b290,311,51229,17416938.196141478,622,1.9043657322067784
0xe688b84b23f322a994a53dbf8e15fa82cdb71127,227,20775,7846613.607929516,454,0.6141216512018715
0x7e2a2fa2a064f693f0a55c5639476d913ff12d05,219,15390,7019945.675799087,438,0.2450264925067953
0x0000000000675d852c8638df2f227949052b1208,135,14526,8040791.37037037,270,0.2663965823708628
0xd87f3d6c5624e8b02be13c2c92f8511b88b94d96,117,7519,7706128.427350427,234,0.5137316761926377
0x73f7b1184b5cd361cc0f7654998953e2a251dd58,60,5912,8664195.8,120,0.1490453610876871
0xb364e75b1189dcbbf7f0c856456c1ba8e4d6481b,55,6571,9779324.854545455,110,0.0858228150046881
0xee6d073d0c8cb54b5800af5b3c0479c416e1175d,50,5625,9457948.88,100,0.1547471027178352
