contract_address,tx_count,log_event_count,total_eth_received,unique_users,deployed_at
0x28be6260dbb7872de5effc9a4a73c85b7405a8c0,32846,32275,0.0,32148,2025-09-29 13:08:11.000
0x61649cd948e67e15dc76232f751f1f74bf8322a7,15168,13528,38382.11851709183,1,2025-09-22 15:32:11.000
0x0caef4fe947a5767335cce1a64502aefda5a4366,5808,5910,6905.369505551169,3054,2025-09-23 06:59:35.000
0x1178c6a8e2600f0e9bafbc5e5677fe10805f05e3,5183,5085,0.0,5074,2025-09-29 04:32:47.000
0x9db8864888c700779f0131bba8fe03e74ac936c9,2024,3,198.0,11,2025-09-18 09:14:11.000
0xf7dd6107b94af76deffd118bfa12a70c1891bcd8,2004,1981,0.0,1728,2025-09-23 15:27:59.000
0x9b031580c93bd271295d38a6322006f5f237a378,1902,1902,0.0,1,2025-10-02 22:56:23.000
0xa8bdc2d1697502f8f84fef4010a01975620eeece,1852,0,1310.8669404405196,1036,2025-10-06 12:48:59.000
0x38778e6d4d0dbe9becef3ae8b938570209efa48b,1765,922,1439578.0158686857,343,2025-10-05 08:35:47.000
0x6738757a0a90b2133291f370eebed7282d4358f9,1658,4084,0.0,1327,2025-09-12 05:40:47.000
0xfc7d46929bc3dc2ca9533a6fc5e9896d401604a4,1627,1613,0.0,1607,2025-09-19 08:53:11.000
0x8ee5cfb455b3ba5cb0bb5ad91cd6fc40ac73b25c,1471,5415,0.0,1323,2025-09-13 01:44:23.000
0x040040d73760d4d0f8c5c6c23f3978d685a358ae,1073,5231,0.0,935,2025-09-27 07:41:59.000
0xca5e50710f656f2e537ce2fc8504db6e24ed3515,1044,1568,0.0,112,2025-10-02 08:56:47.000
0x6bfb387a06e90e4b0e6047f3cda2e05a18810aeb,1016,3530,0.0,969,2025-09-12 00:25:11.000
0x5710fff74d567e7f310080799426b85822985c02,1008,947,8.3607,888,2025-09-21 19:07:23.000
0xdc57c6af552ff52f7da832d3f46511328bab3907,957,3019,0.0,951,2025-09-14 15:22:23.000
0xcddeabcdd9f6e46a6249c5b3983d1fa7d708d461,949,990,2966.494338999899,580,2025-10-02 06:02:23.000
0x15b6210d1457ce7bdb7715871af76d88947fcc8a,945,2,1530.0,21,2025-09-18 12:50:23.000
0x7287d4571b9e0e461107619219d4c20e7a4cbf90,918,5790,0.0,909,2025-09-17 08:30:23.000
