token_address,transfer_count,unique_senders,unique_receivers,total_volume,avg_transfer_size
0xdac17f958d2ee523a2206206994597c13d831ec7,2558147,504434,647437,0.1187738068817687,4.6429625381875536e-08
0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2314608,364356,451017,0.2406889626597461,1.039869224766121e-07
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1663751,38055,35330,102876431.79166232,61.83403152975555
0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,647372,15924,619594,24375436356725.355,37652904.90896325
0x06450dee7fd2fb8e39061434babcfc05599a6fb8,290301,906,143448,88685670604233.6,305495573.9189104
0x7f97f3d313d336714a5ed43ed636d5507fef6165,280758,629,277118,880739621.9301915,3137.0063254838387
0x4add9ee147deb9452da4726d21b4885896081c1d,183937,200,183457,379136574.7498517,2061.2306102081234
0xf8fb55139b9acac7bb72e3d6de9ab412e01d2528,183880,219,183449,37255403310.42861,202607.15309130197
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,143547,8511,9930,0.000182574706381182,1.27188103116876e-09
0x70fffd5ab47c36db7c85f771068497033d5523fd,141864,203,141461,34855075175.172935,245693.5880503365
0x56b48cd2699c1fcd7a0629e550d6040a943bf9fa,138677,52136,65051,1386.1229770673865,0.009995334316919
0x26ca7aefbc73cb20364df9bba4fdf642c52a60e4,126572,142,126336,4570771624992769.0,36112028134.12737
0xc1789999e3a80f71cdaad44aa8521a0f5829d55b,126565,146,126327,4641638437668683.0,36673949651.71005
0x7701996420a116f25bd414c02381f6db698bf2eb,126556,138,126324,4517094089217480.0,35692453058.072945
0x6b175474e89094c44da98b954eedeac495271d0f,117779,13933,19775,23972591223.163296,203538.75668126997
0xc50673edb3a7b94e8cad8a7d4e0cd68864e33edf,113074,5495,8770,1651647580.8778362,14606.784768185757
0xe52d53c8c9aa7255f8c2fa9f7093fea7192d2933,100176,187,50088,21845289.244601104,218.0690908461219
0x514910771af9ca656af840dff83e8264ecf986ca,88070,14883,21111,55802359.843696766,633.6137145872235
0xa2bffb30c07f0dcda3d46aec4b1446e0229eb536,85715,38979,45779,461.5182324517847,0.0053843345091499
0x54e6f2cd4c092700542a98f77a1f929dd47a01c6,73254,40411,44027,13672927162.111156,186650.9291248417
