date,total_tx,successful_tx,failed_tx,failure_rate_pct,gas_wasted_eth
2025-10-09,1594069,1575935,18134,1.1375919110151445,3.086095018922777
2025-10-08,1616085,1599094,16991,1.0513679664126578,2.3749358658527617
2025-10-07,1595109,1574221,20888,1.3095029869432122,4.7354544482785075
2025-10-06,1576776,1551318,25458,1.614560343384222,7.222959748651001
2025-10-05,1387207,1369725,17482,1.2602300882276405,3.0343942364458085
2025-10-04,1390296,1375410,14886,1.0707072450758688,1.30000688282731
2025-10-03,1634980,1617475,17505,1.070655298535762,3.1399441681438263
2025-10-02,1788467,1760111,28356,1.5854919324762493,7.1289651996315095
2025-10-01,1704159,1686218,17941,1.0527773523479909,2.9858560391500575
2025-09-30,1755868,1732756,23112,1.3162720660095175,3.770673637335075
2025-09-29,1703608,1683273,20335,1.1936431385623922,16.428976960441815
2025-09-28,1404703,1385445,19258,1.370965962199839,1.6479316643024935
2025-09-27,1427746,1406810,20936,1.4663672670068766,1.9636827401209231
2025-09-26,1638605,1615112,23493,1.43371953582468,3.06239234456478
2025-09-25,1624004,1604293,19711,1.2137285376144396,5.971924824450905
2025-09-24,1597810,1574404,23406,1.4648800545746992,6.632316121665054
2025-09-23,1688051,1667211,20840,1.234559856307659,2.015302930061942
2025-09-22,1588927,1566149,22778,1.4335460345251858,5.052568219722958
2025-09-21,1418164,1400424,17740,1.2509131524985828,1.5852732547897614
2025-09-20,1589396,1572093,17303,1.0886525447402662,1.4494067741185708
2025-09-19,1721377,1700074,21303,1.2375557475207348,3.7192699073637066
2025-09-18,1843631,1811658,31973,1.7342407455721889,11.214716583014736
2025-09-17,1687103,1656821,30282,1.7949111583584405,7.861922498144689
2025-09-16,1801312,1735633,65679,3.6461756763958713,5.5751195762907875
2025-09-15,1675545,1649319,26226,1.5652220620753248,6.303092851510167
2025-09-14,1518453,1490852,27601,1.8177052565999736,2.3059124730237386
2025-09-13,1637457,1616755,20702,1.2642774741565732,1.813908417744468
2025-09-12,1753023,1732722,20301,1.1580566826561889,2.711256660414844
2025-09-11,1709635,1688839,20796,1.2163999918111177,2.645773409149629
